Item Name,Rarity,Attunement,Cost (gp),Note,Armor Cost,Rare Material,AC Bonus,Save Bonus,Set Score (Modifier),+2 Bonus To Score (Y/N),Weapon Bonus,Spell Level,Unlimited Charges (Y/N),Charges/Day (Unlimit = 7),Charges/Item (Destroyed),Spells Share Charges,"Condition (1Min, Save)",Consumable Damage (Avg),Consumable Save? (Y/N),Semi-Permanent Damage (Avg),Semi-Perm Save? (Y/N),Duration? (Minutes),Permanent Damage (Avg),Perm Save? (Y/N),Specific Situations (Y/N),Restore HP (Avg),Misc. Costs,2 Spell Level,2 Unlimited Charges (Y/N),2 Charges/Day (Unlimit = 7),3 Spell Level,3 Unlimited Charges (Y/N),3 Charges/Day (Unlimit = 7),MatCost,ACCost,SaveCost,SetScore Cost,BonusScore Cost,WeaponCost,Consum Spell Cost,PermCharges Cost,Charges - Destroyed,SpellShare ChargesCost,ConditionCost,ConsDMG Cost,Sm-PrDMG Cost,PerDMG Cost,AVGHP Cost,MiscCost,2 Consum Spell Cost,2 Perm Charges Cost,3 Consum Spell Cost,3 Perm Charges Cost,Source Sheet
"Ammunition, +2",Rare,No,990,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,DMG 2024
"Ammunition, +3",Very Rare,No,2772,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,DMG 2024
Ammunition of Slaying,Very Rare,Yes,267,,,,,,,,,,,,,,,33,Y,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,DMG 2024
Amulet of Health,Rare,Yes,12600,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,,,,,,,,,,,,,,,,,DMG 2024
Amulet of Proof Against Detect and Location,Uncommon,Yes,2700,,,,,,,,,3,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,300,1500,,,,,,,,,,,,,DMG 2024
Amulet of the Planes,Very Rare,Yes,32400,,,,,,,,,7,Y,7,,,,,,,,,,,,,,,,,,,,,,,,,,1080,9720,,,,,,,,,,,,,DMG 2024
Animated Shield,Very Rare,Yes,2700,,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Apparatus of Kwalish,Legendary,No,137500,,,,,,,,,,,,,,,,,,,,,,,,25000,,,,,,,,,,,,,,,,,,,,,,25000,,,,,DMG 2024
"Armor, +1",Rare,No,1980,Add armor cost for total,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,DMG 2024
"Armor, +2",Very Rare,No,8910,Add armor cost for total,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,DMG 2024
"Armor, +3",Legendary,No,29700,Add armor cost for total,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,,,,,,,,,,,,,DMG 2024
Armor of Gleaming,Common,No,330,add armor to total; based: prestidigitation,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Armor of Invulnerability,Legendary,Yes,69300,Add armor cost for total,,,,,,,,5,Y,,,,,,,,,,,,,,,7,N,4,,,,,,,,,,630,5670,,,,,,,,,1080,6480,,,DMG 2024
Armor of Resistance,Rare,Yes,9000,"Add armor cost for total; based: protection from energy (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
"Armor of Resistance, Leather",Rare,Yes,9020,"based: protection from energy (plus 1 level, no concentration)",10,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,10,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
"Armor of Resistance, Chain Shirt",Rare,Yes,9100,"based: protection from energy (plus 1 level, no concentration)",50,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,50,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
"Armor of Resistance, Breastplate",Rare,Yes,9800,"based: protection from energy (plus 1 level, no concentration)",400,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,400,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
"Armor of Resistance, Plate",Rare,Yes,12000,"based: protection from energy (plus 1 level, no concentration)",1500,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,1500,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Armor of Vulnerability,Rare,Yes,0,"Cursed, not priced (would be the same as Armor of Resistance)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Arrow-Catching Shield,Rare,Yes,7200,,,,2,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,2700,,,,,90,810,,,,,,,,,,,,,DMG 2024
Axe of the Dwarvish Lords,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Baba Yaga's Dancing Broom,Uncommon,Yes,2700,based: spiritual weapon,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Bag of Beans,Rare,No,0,"Random, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Bag of Devouring,Very Rare,No,0,"Cursed, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Bag of Holding,Uncommon,No,1485,based: floating disk,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Bag of Tricks,Uncommon,No,4455,"based: conjure animals (plus 1 level, no concentraiton, highest level monster is CR 2)",,,,,,,,4,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,450,2250,,,,,,,,,,,,,DMG 2024
Bead of Force,Rare,No,13933,"based: resilient sphere (plus 1 level, no concentration), add charges per bead",,,,,,,,5,N,8,,,,12,Y,,,1,,,,,,,,,,,,,,,,,,630,5670,,,,33,,,,,,,,,DMG 2024
Belt of Dwarvenkind,Rare,Yes,8460,"not included: advantage on CHA, dwarven language",,,,,,Y,,2,Y,,,,,,,,,,,,,,,2,Y,,,,,,,,,630,,180,1620,,,,,,,,,180,1620,,,DMG 2024
"Belt of Giant Strength, Hill",Rare,Yes,18900,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9450,,,,,,,,,,,,,,,,,DMG 2024
"Belt of Giant Strength, Stone/Frost",Very Rare,Yes,39690,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230,,,,,,,,,,,,,,,,,DMG 2024
"Belt of Giant Strength, Fire",Very Rare,Yes,52920,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,17640,,,,,,,,,,,,,,,,,DMG 2024
"Belt of Giant Strength, Cloud",Legendary,Yes,113400,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,22680,,,,,,,,,,,,,,,,,DMG 2024
"Belt of Giant Strength, Storm",Legendary,Yes,141750,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,28350,,,,,,,,,,,,,,,,,DMG 2024
Berserker Axe,Rare,Yes,0,"Cursed, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Blackrazor,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Book of Exalted Deeds,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Book of Vile Darkness,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Boots of Elvenkind,Uncommon,No,2970,based: enhance ability,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Boots of False Tracks,Common,No,330,based: disguise self (minus 1 level),,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Boots of Levitation,Rare,Yes,3600,based: levitate,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Boots of Speed,Rare,Yes,1800,based: zephyr strike,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Boots of Striding and Springing,Uncommon,Yes,1350,based: jump,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Boots of the Winterlands,Uncommon,Yes,4050,based: freedom of movement minus 2 levels,,,,,,,,1,Y,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,90,810,,,,,,,,,180,1620,,,DMG 2024
Bowl of Commanding Water Elementals,Rare,No,7392,"based: conjure elemental (plus 1 level, no cocentration)",,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
Bracers of Archery,Uncommon,Yes,2250,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,DMG 2024
Bracers of Defense,Rare,Yes,5400,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,DMG 2024
Brazier of Commanding Fire Elementals,Rare,No,7392,"based: conjure elemental (plus 1 level, no cocentration)",,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
Brooch of Shielding,Uncommon,Yes,2700,based: shield for immunity,,,,,,,,1,Y,,,,,,,,,,,,,,,1,Y,,,,,,,,,,,90,810,,,,,,,,,90,810,,,DMG 2024
Broom of Flying,Uncommon,Yes,4500,based: fly,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Candle of Invocation,Very Rare,Yes,28350,based: gate & unlimited guardian of nature,,,,,,,,9,N,,,,,,,,,,,,,,,4,Y,,,,,,,,,,,1650,3300,,,,,,,,,450,4050,,,DMG 2024
Candle of the Deep,Common,No,330,based: light,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Cape of the Mountebank,Rare,No,3960,based: dimension door,,,,,,,,4,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,450,1350,,,,,,,,,,,,,DMG 2024
Cap of Water Breathing,Uncommon,No,4950,based: water breathing,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
"Carpet of Flying, 3x5",Very Rare,No,14850,"based: fly, 1 creature (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
"Carpet of Flying, 4x6",Very Rare,No,29700,"based: fly, 2 creatures (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,,4,Y,,,,,,,,,,,450,4050,,,,,,,,,450,4050,,,DMG 2024
"Carpet of Flying, 5x7",Very Rare,No,44550,"based: fly, 3 creatures (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,,4,Y,,4,Y,,,,,,,,450,4050,,,,,,,,,450,4050,450,4050,DMG 2024
"Carpet of Flying, 6x9",Very Rare,No,59400,"based: fly, 4 creatures (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,4500,4,Y,,4,Y,,,,,,,,450,4050,,,,,,,,4500,450,4050,450,4050,DMG 2024
Cast-Off Armor,Common,No,330,add armor cost; based: cantrip power,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Cauldron of Rebirth,Very Rare,Yes,10860,"based: raise dead, Misc cost for scrying focus",,,,,,,,5,N,1,,,,,,,,,,,,14,1000,,,,,,,,,,,,,630,1890,,,,,,,99.96,1000,,,,,DMG 2024
Censer of Controlling Air Elementals,Rare,No,7392,"based: conjure elemental (plus 1 level, no cocentration)",,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
Charlatan's Die,Common,Yes,300,based: minor illusion,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Chime of Opening,Rare,Yes,4320,based: knock,,,,,,,,2,N,,10,,,,,,,,,,,,,,,,,,,,,,,,,180,360,1620,,,,,,,,,,,,DMG 2024
Circlet of Blasting,Uncommon,No,1188,based: scorching ray,,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
Cloak of Arachnida,Very Rare,Yes,12780,"based: spider climb (plus 1 level, no concentration), web",,,,,,,,1,Y,,,,,,,,,,,,,,,3,Y,,1,N,1,,,,,,,90,810,,,,,,,,,300,2700,90,270,DMG 2024
Cloak of Billowing,Common,No,330,based: gust,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Cloak of Displacement,Rare,Yes,6000,"based: blur (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Cloak of Elvenkind,Uncommon,Yes,9000,"based: enhance ability x2  (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,300,2700,,,,,,,,,300,2700,,,DMG 2024
Cloak of Invisibility,Legendary,Yes,42000,"based: greater invisibility (plus 1 level, no concentration), 2 hours = effective permanent",,,,,,,,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,,,,,,,,,,,,DMG 2024
Cloak of Many Fashions,Common,No,990,based: disguise self,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Cloak of Protection,Uncommon,Yes,2700,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,900,900,,,,,,,,,,,,,,,,,,DMG 2024
Cloak of the Bat,Rare,Yes,15600,"based: enhance ability (plus 1 level, no concentration), fly (no change in level due to requirments), polymorph",,,,,,,,3,Y,,,,,,,,,,,,,,,3,Y,,4,N,1,,,,,,,300,2700,,,,,,,,,300,2700,450,1350,DMG 2024
Cloak of the Manta Ray,Uncommon,No,9900,"based: water breathing & alter self (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,300,2700,,,,,,,,,300,2700,,,DMG 2024
Clockwork Amulet,Common,No,792,based: 2nd-level spell power,,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
Clothes of Mending,Common,No,330,based: mending,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Crystal Ball,Very Rare,Yes,18900,based: scrying,,,,,,,,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5670,,,,,,,,,,,,,DMG 2024
Crystal Ball of Mind Reading,Legendary,Yes,36000,based: scrying & detect thoughts,,,,,,,,5,Y,,,,,,,,,,,,,,,1,Y,,,,,,,,,,,630,5670,,,,,,,,,90,810,,,DMG 2024
Crystal Ball of Telepathy,Legendary,Yes,33300,based: scrying & suggestion,,,,,,,,5,Y,,,,,,,,,,,,,,,1,N,1,,,,,,,,,,630,5670,,,,,,,,,90,270,,,DMG 2024
Crystal Ball of True Seeing,Legendary,Yes,73500,based: scrying & truesight,,,,,,,,5,Y,,,,,,,,,,,,,,,6,Y,,,,,,,,,,,630,5670,,,,,,,,,840,7560,,,DMG 2024
Cube of Force,Rare,Yes,17880,"based: wall of force (plus 1 level, no concentration)",,,,,,,,6,N,10,,18,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,540,,,,,,,,,,,DMG 2024
Cube of Summoning,Rare,No,7392,"based: 6th level spell (plus 1 level, no concentration)",,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
Cubic Gate,Legendary,No,60390,based: gate & planeshift (charges based on highest level spell),,,,,,,,9,N,3,,,,,,,,,,,,,,7,,,,,,,,,,,,1650,8250,,,,,,,,,1080,,,,DMG 2024
Daern's Instant Fortress,Rare,Yes,16800,based: magnificent mansion (minus 1 level),,,,,,,,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,,,,,,,,,,,,DMG 2024
Dagger of Venom,Rare,No,2350,,,,,,,,1,,,,,,Poisoned,,,11,Y,0,,,,,,,,,,,,,,,,,500,,,,,450,,117.92,,,,,,,,DMG 2024
Dancing Sword,Very Rare,Yes,5400,based: spiritual weapon,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Dark Shard Amulet,Common,Yes,120,based: cantrip power,,,,,,,,0,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,30,90,,,,,,,,,,,,,DMG 2024
Decanter of Endless Water,Uncommon,No,1570,based: create or destroy water,,,,,,,,1,Y,,,,Prone,,,2,Y,0,,,,,,,,,,,,,,,,,,90,810,,,30,,21.44,,,,,,,,DMG 2024
Deck of Illusions,Uncommon,Yes,16200,"based: major image, add charges based on cards",,,,,,,,3,N,,34,,,,,,,,,,,,,,,,,,,,,,,,,300,600,9900,,,,,,,,,,,,DMG 2024
Deck of Many Things,Legendary,No,0,haha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Defender,Legendary,Yes,15000,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,DMG 2024
Demon Armor,Very Rare,Yes,13200,,1500,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1500,2400,,,,500,,,,,,,,,,,,,,,DMG 2024
Demonomicon of Iggwilv,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Dimensional Shackles,Rare,No,9900,based: counterspell (plus 1 level),,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Dragon Scale Mail,Very Rare,Yes,21900,"based: locate creature, protection from energy (plus 1 level, no concentration)",50,,1,,,,,4,Y,,,,,,,,,,,,,,,4,N,1,,,,50,950,,,,,450,4050,,,,,,,,,450,1350,,,DMG 2024
Dragon Slayer,Rare,No,1886,,,,,,,,1,,,,,,,,,,,,10,N,Y,,,,,,,,,,,,,,500,,,,,,,,357,,,,,,,DMG 2024
Dread Helm,Common,No,330,based: minor illusion,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Driftglobe,Uncommon,No,2475,based: light & daylight,,,,,,,,0,Y,,,,,,,,,,,,,,,3,N,1,,,,,,,,,,30,270,,,,,,,,,300,900,,,DMG 2024
Dust of Disappearance,Uncommon,No,2970,"based: invisible (plus 1 level, no concentration), x4 for AoE",,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,450,,1350,,,,,,,,,,,,DMG 2024
Dust of Dryness,Uncommon,No,156,multiply total based on charges,,,,,,,,,,,,,,35,Y,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,DMG 2024
Dust of Sneezing and Choking,Uncommon,No,0,"Cursed, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Dwarven Plate,Very Rare,No,18810,,1500,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,4200,,,,,,,,,,,,,,,,,,,DMG 2024
Dwarven Thrower,Very Rare,Yes,9964,,,,,,,,3,,,,,,,,,,,,9,N,Y,,,,,,,,,,,,,,3000,,,,,,,,321.3,,,,,,,DMG 2024
Ear Horn of Hearing,Common,No,990,"based: lesser restoration (minus 1 level, lesser effect)",,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Efreeti Bottle,Very Rare,No,32670,based: conjure elemental at 9th level,,,,,,,,9,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,1650,8250,,,,,,,,,,,,,DMG 2024
Efreeti Chain,Legendary,Yes,81750,"based: primordial ward (plus 1 level, no concentration)",75,,3,,,,,7,Y,,,,,,,,,,,,,,,,,,,,,75,5475,,,,,1080,9720,,,,,,,,,,,,,DMG 2024
Elemental Gem,Uncommon,No,1386,"based: conjure elemental (plus 1 level, no concentration)",,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,DMG 2024
Elixir of Health,Rare,No,396,based: lesser restoration,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,DMG 2024
Elven Chain,Rare,No,2200,,50,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,50,950,,,,,,,,,,,,,,,,,,,DMG 2024
Enduring Spellbook,Common,No,330,based: mending,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Energy Bow,Very Rare,Yes,12570,"based: misty step (plus 2 levels, increased range and affect others), spider climb",,,,,,,1,2,Y,,,,Restrained,,,,,,,,,,,2,Y,,,,,,,,,,500,180,1620,,,90,,,,,,180,1620,,,DMG 2024
Enspelled Armor (Cantrip),Uncommon,Yes,405,Add armor cost for total,,,,,,,,0,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,30,240,,,,,,,,,,,,,DMG 2024
Enspelled Armor (1st),Uncommon,Yes,1215,Add armor cost for total,,,,,,,,1,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,90,720,,,,,,,,,,,,,DMG 2024
Enspelled Armor (2nd),Rare,Yes,3240,Add armor cost for total,,,,,,,,2,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,180,1440,,,,,,,,,,,,,DMG 2024
Enspelled Armor (3rd),Rare,Yes,5400,Add armor cost for total,,,,,,,,3,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,300,2400,,,,,,,,,,,,,DMG 2024
Enspelled Armor (4th),Very Rare,Yes,12150,Add armor cost for total,,,,,,,,4,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,450,3600,,,,,,,,,,,,,DMG 2024
Enspelled Armor (5th),Very Rare,Yes,17010,Add armor cost for total,,,,,,,,5,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,630,5040,,,,,,,,,,,,,DMG 2024
Enspelled Armor (6th),Legendary,Yes,37800,Add armor cost for total,,,,,,,,6,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,840,6720,,,,,,,,,,,,,DMG 2024
Enspelled Armor (7th),Legendary,Yes,48600,Add armor cost for total,,,,,,,,7,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,1080,8640,,,,,,,,,,,,,DMG 2024
Enspelled Armor (8th),Legendary,Yes,60750,Add armor cost for total,,,,,,,,8,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,1350,10800,,,,,,,,,,,,,DMG 2024
Enspelled Leather Armor (Cantrip),Uncommon,Yes,420,Add armor cost for total,10,,,,,,,0,N,6,,,,,,,,,,,,,,,,,,,,10,,,,,,30,240,,,,,,,,,,,,,DMG 2024
Enspelled Plate Armor (8th),Legendary,Yes,68250,Add armor cost for total,1500,,,,,,,8,N,6,,,,,,,,,,,,,,,,,,,,1500,,,,,,1350,10800,,,,,,,,,,,,,DMG 2024
